Name,Industry,Tier,Website,Relationship Owner,Notes
Acme Corp,SaaS / Software,Strategic,https://acme.com,Sarah Chen,"Key strategic account, highly engaged"
TechFlow Inc,Fintech,Growth,https://techflow.io,Marcus Reid,Fast-growing fintech customer
Brightside Health,Healthcare / Life Sciences,Strategic,https://brightsidehealth.com,Sarah Chen,Champions our product at conferences
RetailMax,E-commerce / Retail,Standard,https://retailmax.com,James Wu,Early adopter
CloudNine Solutions,SaaS / Software,Growth,https://cloudnine.io,Marcus Reid,Active beta program participant
DataPulse Analytics,SaaS / Software,Strategic,https://datapulse.com,Sarah Chen,Multiple case studies completed
EduLearn Platform,Education,Growth,https://edulearn.com,James Wu,Regular webinar participant
MediTrack Systems,Healthcare / Life Sciences,Standard,https://meditrack.com,Sarah Chen,New account - intro call completed
LogiFlow,Logistics / Supply Chain,Growth,https://logiflow.com,Marcus Reid,Strong reference customer
GreenBuild Co,Manufacturing,Standard,https://greenbuild.co,James Wu,Early adopter
